NAME,IAU_ID,ALT_NAME,RA,DEC,PSG_TYPE_1,PSG_TYPE_2,CATEGORY_1,CATEGORY_2,MORPHTYPE,EGIS,EGIPS,REFERENCE,LINKS,PGC,RA_LEDA,DEC_LEDA,MORPHTYPE_LEDA,D25_LEDA,REDSHIFT_LEDA,NED_NAME,REDSHIFT_NED,J_MAG_NED,H_MAG_NED,Ks_MAG_NED,SGA_ID,RA_SGA,DEC_SGA,G_MAG_SB26_SGA,G_MAG_SB26_ERR_SGA,R_MAG_SB26_SGA,R_MAG_SB26_ERR_SGA,Z_MAG_SB26_SGA,Z_MAG_SB26_ERR_SGA,D26_SGA,D26_REF,PHDEP_G,PHDEP_R,PHDEP_I,PHDEP_Z,PHDEP_GR,PHDEP_ALL,G_MAG_ASYM_IRAF,G_MAG_ASYM_ERR_IRAF,G_MAG_SB26_IRAF,R26_G_IRAF,R26_G_ERR_IRAF,G_MAG_OUTER_IRAF,R_G_IRAF,R_MAG_ASYM_IRAF,R_MAG_ASYM_ERR_IRAF,R_MAG_SB26_IRAF,R26_R_IRAF,R26_R_ERR_IRAF,R_MAG_OUTER_IRAF,R_R_IRAF,I_MAG_ASYM_IRAF,I_MAG_ASYM_ERR_IRAF,I_MAG_SB26_IRAF,R26_I_IRAF,R26_I_ERR_IRAF,I_MAG_OUTER_IRAF,R_I_IRAF,Z_MAG_ASYM_IRAF,Z_MAG_ASYM_ERR_IRAF,Z_MAG_SB26_IRAF,R26_Z_IRAF,R26_Z_ERR_IRAF,Z_MAG_OUTER_IRAF,R_Z_IRAF,PA_SB26_GR,SMA_SB26_GR,SMB_SB26_GR,G_MAG_SB26_GR,R_MAG_SB26_GR,I_MAG_SB26_GR,Z_MAG_SB26_GR,W1_MAG_IRSA,W1_MAG_ERR_IRSA,W2_MAG_IRSA,W2_MAG_ERR_IRSA,W3_MAG_IRSA,W3_MAG_ERR_IRSA,W4_MAG_IRSA,W4_MAG_ERR_IRSA,A_G,A_R,A_I,A_Z,A_J,A_H,A_Ks,SDSS_SPEC_REDSHIFT,DR10_SPEC_REDSHIFT,DR10_PHOT_REDSHIFT,DR10_PHOT_REDSHIFT_I,DR9_PHOT_REDSHIFT,REDSHIFT,REDSHIFT_SOURCE,DA,SCALE,DL,KCOR_G,KCOR_R,KCOR_I,KCOR_Z,KCOR_J,KCOR_H,KCOR_Ks,KCOR_W1,KCOR_W2,KCOR_W3,KCOR_W4,M_G,M_R,M_I,M_Z,M_J,M_H,M_Ks,M_W1,M_W2,M_W3,M_W4,PHYS_SMA_SB26,LOGMSTAR_WISE,LOGSFR_WISE
,,,deg,deg,,,,,,,,,,,deg,deg,,arcmin,,,,mag,mag,mag,,deg,deg,mag,mag,mag,mag,mag,mag,arcmin,,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,deg,arcmin,arcmin,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,,,,,,,Mpc,kpc/arcsec,Mpc,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,kpc,dex (log10 Msun),dex (log10 Msun/yr)
PGC1815123,J000005.21+274059.0,EGIPS_J000005.1+274059,0.0216969,27.6830653,PR,,Polar_Tilted Rings,,S,,EGIPS J000005.1+274059,,,1815123,0.0221310,27.6829052,,0.6026,,,,,,,851586,0.0216969,27.6830653,16.321,0.029,15.266,0.034,14.332,0.031,,,28.928,28.201,,27.505,28.832,28.536,16.499,0.033,16.600,0.4188,0.0220,16.456,1.1965,15.5230,0.0350,15.5990,0.5057,0.0539,15.4760,1.1965,,,,,,,,14.696,0.021,14.703,0.7078,0.1316,14.666,1.1965,41.92,0.4869,0.1526,16.534,15.574,,14.711,11.999,0.023,11.925,0.022,8.98,0.028,7.318,0.119,0.203,0.134,0.097,0.073,0.045,0.028,0.019,,,0.055165,,0.049751,0.055165,DR10_PHOT_REDSHIFT,229.48,1.113,255.50,0.128,0.053,,0.020,,,,0.000,0.000,0.000,0.000,-20.768,-21.625,,-22.427,,,,-25.038,-25.112,-28.057,-29.719,33.77,10.950,0.625
PGC1566705,J000041.29+184021.4,EGIPS_J000041.2+184021,0.1720500,18.6726000,PTS,,Forming Polar_Tilted Rings,,S,,EGIPS J000041.2+184021,,,1566705,0.1720500,18.6726000,,0.4074,,,,,,,,,,,,,,,,,,28.666,27.984,,27.112,28.601,28.180,17.615,0.059,17.718,0.2393,0.0331,17.600,0.6244,16.8830,0.0540,16.9420,0.2664,0.0521,16.8710,0.6244,,,,,,,,16.229,0.105,16.281,0.2765,0.0990,16.213,0.6244,161.57,0.2528,0.1269,17.672,16.941,,16.323,13.844,0.033,13.209,0.036,9.83,0.059,7.618,0.259,0.108,0.071,0.052,0.039,0.024,0.015,0.010,,,0.088629,,0.072581,0.088629,DR10_PHOT_REDSHIFT,354.42,1.718,420.03,0.141,0.053,,0.003,,,,0.000,0.000,0.000,0.000,-20.647,-21.298,,-21.877,,,,-24.272,-24.907,-28.286,-30.498,27.46,10.454,0.911
PGC399039,J000056.18-563423.7,PGC399039,0.2340874,-56.5732485,EW,,Extreme Disk Tilts_Warps,,S,,,,,399039,0.2339580,-56.5734167,,0.4416,0.119800,,,,,,612705,0.2340682,-56.5732700,18.028,0.022,17.037,0.028,16.269,0.031,0.6235,SB26,29.616,29.181,28.679,27.978,29.723,29.277,17.821,0.050,18.081,0.3095,0.0052,17.829,0.8392,16.9380,0.0410,17.0750,0.3603,0.0321,16.9430,0.8392,16.526,0.035,16.622,0.3721,0.0221,16.528,0.8392,16.227,0.061,16.308,0.3823,0.0397,16.226,0.8392,147.16,0.3448,0.1286,17.951,17.059,16.620,16.324,13.626,0.024,13.355,0.029,10.242,0.061,8.48,0.332,0.048,0.031,0.023,0.017,0.010,0.006,0.004,,,0.117887,0.122584,0.107080,0.119800,REDSHIFT_LEDA,462.12,2.240,579.48,0.254,0.083,0.036,0.018,,,,0.000,0.000,0.000,0.000,-21.036,-21.854,-22.252,-22.542,,,,-25.189,-25.460,-28.573,-30.335,48.42,10.944,0.851
NGC7802,J000100.43+061431.7,NGC7802,0.2517807,6.2421415,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,,,81,0.2515845,6.2421075,S0,1.1830,0.017759,NGC 7802,0.017759,10.967,10.232,9.96,889457,0.2517798,6.2421379,13.715,0.007,12.838,0.010,12.150,0.008,2.3968,SB26,29.121,28.108,,27.492,28.776,28.492,13.580,0.020,13.680,1.0275,0.0444,13.554,2.8196,12.7050,0.0220,12.7560,1.2461,0.0793,12.6980,2.8196,,,,,,,,12.028,0.020,12.054,1.5449,0.1258,12.026,2.8196,15.29,1.1612,1.0168,13.626,12.754,,12.074,10.459,0.022,10.481,0.02,9.538,0.052,7.66,0.19,0.179,0.118,0.085,0.064,0.039,0.024,0.017,,,0.021702,,0.021061,0.017759,REDSHIFT_NED,77.29,0.375,80.06,0.027,0.018,,0.010,-0.013,-0.017,-0.036,0.000,0.000,0.000,0.000,-21.043,-21.897,,-22.537,-23.576,-24.292,-24.538,-24.058,-24.036,-24.979,-26.857,28.04,10.591,-0.422
PGC100704,J000112.32-493029.6,PGC100704,0.3013510,-49.5082089,PR,,Polar_Tilted Rings,,S0,,,,,100704,0.3012090,-49.5083056,,0.3631,0.067100,,,,,,972093,0.3013488,-49.5082093,16.490,0.006,15.575,0.007,14.958,0.008,0.6245,SB26,29.360,29.047,28.283,27.577,29.553,28.900,16.416,0.029,16.519,0.2499,0.0391,16.409,0.7239,15.5310,0.0180,15.5790,0.3223,0.0291,15.5160,0.7239,15.154,0.026,15.189,0.3562,0.0185,15.144,0.7239,14.885,0.036,14.885,0.6482,0.0689,14.885,0.7239,104.67,0.2899,0.2482,16.482,15.583,15.209,14.946,13.106,0.037,13.06,0.042,11.642,,8.285,,0.033,0.022,0.016,0.012,0.007,0.004,0.003,,,0.071399,0.072649,0.071923,0.067100,REDSHIFT_LEDA,275.20,1.334,313.37,0.163,0.063,0.042,0.018,,,,0.000,0.000,0.000,0.000,-21.157,-21.986,-22.349,-22.625,,,,-24.374,-24.420,-25.838,-29.195,25.80,10.694,0.434
2MASXJ00012375-0051067,J000123.74-005107.0,2MASXJ00012375-0051067,0.3489071,-0.8519529,PR,,Face-on Polar_Tilted Rings,,S0,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,0.3489400,-0.8520000,,,0.078152,WISEA J000123.74-005107.1,0.078152,14.242,13.631,13.206,,,,,,,,,,,,29.428,28.968,28.151,27.766,29.514,28.990,16.853,0.032,16.995,0.3659,0.0023,16.851,0.9729,16.0430,0.0310,16.1220,0.3650,0.0307,16.0380,0.9729,15.665,0.041,15.726,0.4214,0.0300,15.664,0.9729,15.419,0.045,15.461,0.4428,0.0543,15.415,0.9729,131.51,0.3938,0.1714,16.945,16.097,15.720,15.460,13.437,0.025,13.328,0.033,12.351,0.457,8.932,0.53,0.115,0.076,0.055,0.041,0.025,0.016,0.011,0.078152,0.078152,0.072689,0.076873,0.075397,0.078152,SDSS_SPEC_REDSHIFT,316.38,1.534,367.77,0.171,0.065,0.030,0.013,-0.054,-0.039,-0.113,0.000,0.000,0.000,0.000,-21.119,-21.847,-22.187,-22.421,-23.557,-24.174,-24.520,-24.391,-24.500,-25.477,-28.896,33.59,10.679,0.324
PGC3092794,J000156.73-035754.4,PGC3092794,0.4863842,-3.9650974,PTS,,Polar_Tilted Tidal Structures,,S,,,,,3092794,0.4861935,-3.9652414,,0.3698,0.022559,WISEA J000156.78-035754.5,0.022559,13.375,12.723,12.547,1209239,0.4865250,-3.9650940,15.702,0.008,15.125,0.008,14.696,0.009,0.7850,SB26,29.102,28.843,28.389,27.618,29.325,28.932,15.482,0.015,15.524,0.3258,0.0616,15.473,0.8644,14.9240,0.0110,14.9530,0.3521,0.0226,14.9110,0.8644,14.712,0.015,14.744,0.3802,0.0196,14.706,0.8644,14.506,0.022,14.529,0.3890,0.0516,14.502,0.8644,14.99,0.3473,0.2812,15.507,14.950,14.746,14.537,12.53,0.024,12.364,0.024,8.267,0.024,6.116,0.054,0.133,0.087,0.063,0.048,0.029,0.018,0.012,,,0.033584,0.029108,0.033542,0.022559,REDSHIFT_NED,97.60,0.473,102.06,0.022,0.023,-0.001,0.005,-0.018,-0.023,-0.059,0.000,0.000,0.000,0.000,-19.675,-20.201,-20.362,-20.568,-21.680,-22.316,-22.450,-22.514,-22.680,-26.777,-28.928,9.99,9.909,0.336
PGC435613,J000203.45-525952.2,PGC435613,0.5143859,-52.9978275,PB,,Polar_Tilted Bulges,,S,,,,,435613,0.5142915,-52.9978889,,0.5012,,,,,,,175851,0.5144219,-52.9978278,17.174,0.012,16.297,0.013,15.600,0.013,0.7363,SB26,29.600,29.227,28.315,27.807,29.741,29.071,17.141,0.029,17.276,0.2634,0.0125,17.128,0.9170,16.2710,0.0180,16.3440,0.3604,0.0360,16.2640,0.9170,15.879,0.029,15.924,0.3453,0.0415,15.862,0.9170,15.560,0.034,15.597,0.3751,0.0888,15.552,0.9170,102.13,0.3695,0.1302,17.194,16.325,15.906,15.591,13.402,0.034,13.283,0.039,10.437,0.093,8.194,,0.062,0.041,0.030,0.022,0.014,0.008,0.006,,,0.074429,0.064538,0.061560,0.064538,DR10_PHOT_REDSHIFT_I,265.50,1.287,300.88,0.151,0.060,0.042,0.019,,,,0.000,0.000,0.000,0.000,-20.329,-21.149,-21.540,-21.836,,,,-23.990,-24.109,-26.955,-29.198,27.83,10.516,0.435
PGC1559541,J000219.05+182601.4,PGC1559541,0.5793669,18.4337273,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,,,1559541,0.5794170,18.4337222,,0.5370,,WISEA J000219.04+182601.5,0.049283,13.657,12.955,12.704,1155438,0.5793748,18.4337335,16.295,0.025,15.358,0.025,14.658,0.028,1.1000,SB26,28.804,28.082,,27.193,28.703,28.261,16.363,0.029,16.486,0.3374,0.0126,16.347,0.7910,15.5030,0.0160,15.5180,0.5354,0.0710,15.4790,0.7910,,,,,,,,14.771,0.027,14.776,0.6449,0.1050,14.760,0.7910,61.30,0.3253,0.2737,16.433,15.508,,14.817,12.764,0.023,12.746,0.026,11.471,0.182,8.858,,0.096,0.063,0.046,0.034,0.021,0.013,0.009,,,0.070829,,0.067603,0.049283,REDSHIFT_NED,206.46,1.001,227.31,0.110,0.048,,0.018,-0.031,-0.025,-0.104,0.000,0.000,0.000,0.000,-20.503,-21.376,,-22.059,-23.116,-23.816,-23.984,-24.019,-24.037,-25.312,-27.925,32.16,10.561,-0.031
PGC000163,J000219.15+125817.8,PGC000163,0.5798116,12.9716121,PR,,Face-on Polar_Tilted Rings,,S,,,,,163,0.5798460,12.9716278,S0,,,NGC 7810,0.018299,10.989,10.232,9.883,,0.5797800,12.9716800,,,,,,,,,29.000,28.236,,27.311,28.865,28.390,13.796,0.014,13.844,0.7419,0.1384,13.795,2.2926,12.9900,0.0140,13.0000,0.9916,0.1176,12.9740,2.2926,,,,,,,,12.324,0.015,12.336,1.0545,0.1503,12.323,2.2926,174.31,0.9225,0.5310,13.799,12.980,,12.321,9.983,0.022,9.777,0.019,5.751,0.014,3.875,0.022,0.286,0.188,0.137,0.103,0.063,0.039,0.027,,,0.018590,,0.016763,0.018299,REDSHIFT_NED,79.58,0.386,82.52,0.029,0.019,,0.009,-0.013,-0.017,-0.028,0.000,0.000,0.000,0.000,-21.054,-21.790,,-22.359,-23.644,-24.373,-24.699,-24.600,-24.806,-28.832,-30.708,22.97,10.730,0.987
PGC125006,J000234.05-441302.3,PGC125006,0.6418564,-44.2173054,PR,PR,Polar_Tilted Rings,Face-on Polar_Tilted Rings,S0-a,,,,,125006,0.6418545,-44.2173750,,0.5129,0.040814,LCRS B000000.4-442945,0.040792,13.236,12.579,12.261,252502,0.6418497,-44.2172992,15.996,0.021,15.146,0.026,14.571,0.028,0.8624,SB26,29.882,28.954,28.228,27.620,29.596,28.925,15.988,0.014,16.087,0.2825,0.0009,15.969,0.7910,15.1350,0.0140,15.1970,0.3804,0.0268,15.1370,0.7910,14.792,0.018,14.813,0.4392,0.0285,14.772,0.7910,14.533,0.028,14.569,0.4551,0.0420,14.535,0.7910,78.20,0.3237,0.2913,16.034,15.192,14.828,14.589,12.568,0.023,12.621,0.025,12.222,0.403,8.735,,0.039,0.025,0.018,0.014,0.008,0.005,0.004,,,0.046935,0.045990,0.045202,0.040792,REDSHIFT_NED,172.64,0.837,187.01,0.086,0.040,0.033,0.015,-0.029,-0.029,-0.071,0.000,0.000,0.000,0.000,-20.397,-21.227,-21.597,-21.819,-23.102,-23.756,-24.031,-23.791,-23.738,-24.137,-27.624,19.10,10.494,-0.141
SDSSJ000256.62+004621.5,J000256.63+004621.5,SDSSJ000256.62+004621.5,0.7359627,0.7726512,PR,,Polar_Tilted Rings,,S0,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,0.7359700,0.7726600,,,0.086854,WISEA J000256.63+004621.5,0.086854,14.67,13.819,13.79,,,,,,,,,,,,29.304,28.918,28.074,27.676,29.451,28.900,17.638,0.041,17.724,0.1453,0.0105,17.631,0.4008,16.7030,0.0280,16.7520,0.1733,0.0142,16.6930,0.4008,16.306,0.041,16.343,0.1977,0.0232,16.300,0.4008,16.040,0.044,16.060,0.2247,0.0309,16.034,0.4008,86.35,0.1636,0.1475,17.700,16.756,16.363,16.096,13.807,0.026,13.692,0.037,12.081,,8.806,,0.090,0.059,0.043,0.032,0.020,0.012,0.008,0.086854,0.086854,0.089402,0.089364,0.089611,0.086854,SDSS_SPEC_REDSHIFT,348.05,1.687,411.13,0.216,0.079,0.044,0.018,-0.031,0.007,-0.194,0.000,0.000,0.000,0.000,-20.652,-21.456,-21.814,-22.060,-23.389,-24.270,-24.094,-24.263,-24.378,-25.989,-29.264,17.54,10.626,0.459
PGC094856,J000308.63-593126.2,PGC094856,0.7859743,-59.5239419,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S0,,,,,94856,0.7860000,-59.5239444,Sab,0.5200,,,,,,,424024,0.7859490,-59.5239520,16.655,0.008,16.007,0.012,15.527,0.013,0.5658,SB26,29.446,29.164,28.437,27.740,29.663,29.058,16.553,0.016,16.611,0.3700,0.0260,16.496,0.9170,15.9290,0.0140,15.9610,0.4205,0.0146,15.8800,0.9170,15.684,0.021,15.681,0.4467,0.0337,15.615,0.9170,15.439,0.034,15.476,0.4572,0.0486,15.435,0.9170,129.72,0.3696,0.1995,16.513,15.895,15.628,15.433,13.591,0.024,13.476,0.028,11.038,0.117,8.345,0.282,0.040,0.027,0.019,0.015,0.009,0.005,0.004,,,0.032416,0.030517,0.035814,0.030517,DR10_PHOT_REDSHIFT_I,130.76,0.634,138.87,0.045,0.030,0.010,0.008,,,,0.000,0.000,0.000,0.000,-19.187,-19.809,-20.061,-20.260,,,,-22.122,-22.237,-24.675,-27.368,16.00,9.770,-0.235
SDSSJ000318.21+004844.3,J000318.23+004844.6,SDSSJ000318.21+004844.3,0.8259507,0.8123898,PTS,PTS,Forming Polar_Tilted Rings,Polar_Tilted Tidal Structures,M,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,0.8259400,0.8124000,,,0.139045,WISEA J000318.22+004844.6,0.139045,,,,,,,,,,,,,,,29.213,28.801,28.029,27.623,29.332,28.840,18.059,0.043,18.190,0.1336,0.0161,18.045,0.4252,17.3430,0.0330,17.4080,0.1812,0.0173,17.3440,0.4252,16.991,0.051,17.053,0.1935,0.0293,16.988,0.4252,16.778,0.060,16.821,0.1991,0.0423,16.779,0.4252,139.01,0.1747,0.1141,18.130,17.409,17.064,16.835,14.079,0.028,13.438,0.034,9.557,0.051,6.923,0.124,0.103,0.068,0.049,0.037,0.023,0.014,0.010,0.139045,0.139045,0.181101,0.170844,0.124259,0.139045,SDSS_SPEC_REDSHIFT,524.74,2.544,680.81,0.137,0.023,-0.058,-0.023,,,,0.000,0.000,0.000,0.000,-21.215,-21.848,-22.103,-22.358,,,,-25.086,-25.727,-29.608,-32.242,27.66,10.777,1.549
PGC000219,J000322.22-104614.3,PGC000219,0.8425873,-10.7706298,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S0-a,,,,,219,0.8426565,-10.7705788,Sb,0.9772,0.029811,MCG -02-01-012,0.029811,,,,280905,0.8425956,-10.7706266,14.351,0.012,13.538,0.015,12.909,0.012,1.9136,SB26,29.252,28.272,28.087,27.649,28.938,28.793,14.504,0.010,14.550,0.5730,0.0298,14.492,1.5612,13.6810,0.0100,13.7010,0.6941,0.0547,13.6780,1.5612,13.138,0.016,13.145,0.8759,0.0367,13.133,1.5612,13.067,0.010,13.083,0.7133,0.0771,13.066,1.5612,86.34,0.6276,0.4842,14.374,13.553,12.874,12.933,11.155,0.023,11.183,0.022,10.263,0.071,8.883,0.482,0.139,0.092,0.067,0.050,0.031,0.019,0.013,0.029811,0.029811,0.021906,0.021929,0.021633,0.029811,SDSS_SPEC_REDSHIFT,127.85,0.620,135.58,0.056,0.030,0.029,0.013,,,,0.000,0.000,0.000,0.000,-21.306,-22.082,-22.612,-22.641,,,,-24.506,-24.478,-25.398,-26.778,25.82,10.772,-0.451
ESO193-011,J000324.51-494730.5,ESO193-011,0.8521243,-49.7918083,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S,,,,,233,0.8522010,-49.7916979,S0,1.5205,0.037553,ESO 193- G 011,0.037553,11.631,10.924,10.716,1404310,0.8521295,-49.7918147,14.120,0.007,13.255,0.011,12.650,0.012,2.5133,SB26,29.425,29.008,28.302,27.752,29.545,29.017,14.020,0.014,14.134,1.2419,0.0248,13.998,3.5718,13.1920,0.0090,13.2340,1.5325,0.0573,13.1650,3.5718,12.835,0.014,12.855,1.6554,0.1283,12.808,3.5718,12.591,0.020,12.599,1.7349,0.1545,12.570,3.5718,55.41,1.4673,0.6500,14.055,13.219,12.854,12.606,11.091,0.023,11.119,0.02,10.521,0.08,8.351,,0.041,0.027,0.020,0.015,0.009,0.006,0.004,,,0.028560,0.028074,0.027682,0.037553,REDSHIFT_NED,159.55,0.774,171.76,0.077,0.037,0.032,0.015,-0.025,-0.024,-0.088,0.000,0.000,0.000,0.000,-22.159,-23.005,-23.372,-23.606,-24.528,-25.233,-25.375,-25.084,-25.056,-25.654,-27.824,71.17,11.003,-0.068
PGC087699,J000339.09-355449.6,PGC087699,0.9128795,-35.9137823,PR,,Polar_Tilted Rings,,E,,,,,87699,0.9128475,-35.9137795,,0.4875,0.050919,,,,,,1249771,0.9128717,-35.9137805,16.022,0.005,15.110,0.006,14.465,0.006,0.9227,SB26,29.371,28.952,28.448,27.316,29.480,28.684,15.894,0.029,16.023,0.4026,0.0067,15.837,1.2324,15.0160,0.0190,15.0600,0.6155,0.0371,14.9550,1.2324,14.628,0.019,14.660,0.6206,0.0367,14.579,1.2324,14.314,0.051,14.356,0.6796,0.1106,14.299,1.2324,138.81,0.5007,0.3165,15.971,15.081,14.691,14.412,12.573,0.024,12.563,0.025,11.119,0.126,8.984,,0.037,0.025,0.018,0.013,0.008,0.005,0.004,,,0.065379,0.066380,0.059370,0.050919,REDSHIFT_LEDA,212.90,1.032,235.13,0.116,0.049,0.040,0.018,,,,0.000,0.000,0.000,0.000,-20.987,-21.871,-22.255,-22.532,,,,-24.284,-24.294,-25.738,-27.873,38.11,10.670,-0.050
PGC1042196,J000404.55-053824.0,PGC1042196,1.0189590,-5.6399978,PTS,,Polar_Tilted Tidal Structures,,S,,,,,1042196,1.0187550,-5.6399455,,0.7413,,,,,,,851620,1.0189747,-5.6399857,16.430,0.026,16.122,0.026,15.922,0.026,1.0223,SB26,29.313,28.976,28.408,27.792,29.486,29.065,16.684,0.016,16.743,0.5417,0.0140,16.674,1.0021,16.3870,0.0150,16.4340,0.6388,0.0293,16.3850,1.0021,16.264,0.037,16.322,0.4352,0.0883,16.268,1.0021,16.210,0.038,16.236,0.7399,0.0631,16.207,1.0021,177.20,0.4070,0.1669,16.656,16.360,16.267,16.177,15.198,0.038,14.92,0.088,12.299,0.513,8.736,,0.126,0.083,0.060,0.045,0.028,0.017,0.012,0.014799,,0.012505,0.012391,0.012579,0.014799,SDSS_SPEC_REDSHIFT,64.64,0.313,66.57,-0.009,0.017,-0.018,0.001,,,,0.000,0.000,0.000,0.000,-17.490,-17.782,-17.836,-17.926,,,,-18.918,-19.196,-21.817,-25.380,12.00,8.433,-0.963
PGC1175247,J000413.61+004646.5,PGC1175247,1.0566962,0.7795851,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,M,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,1175247,1.0566600,0.7795826,E,0.3428,0.094259,,,,,,463849,1.0566999,0.7795863,16.837,0.005,15.895,0.008,15.242,0.008,0.5737,SB26,29.339,28.942,28.133,27.676,29.480,28.926,16.722,0.037,16.836,0.2818,0.0236,16.718,0.8148,15.7990,0.0250,15.8500,0.3660,0.0046,15.7850,0.8148,15.414,0.037,15.459,0.3804,0.0430,15.412,0.8148,15.151,0.038,15.172,0.4004,0.0492,15.152,0.8148,56.24,0.3343,0.2007,16.792,15.856,15.474,15.203,13.178,0.036,13.11,0.042,11.726,0.36,8.065,,0.099,0.065,0.047,0.036,0.022,0.014,0.009,0.094256,0.094256,0.095785,0.095866,0.095895,0.094256,SDSS_SPEC_REDSHIFT,374.46,1.815,448.38,0.229,0.082,0.039,0.016,,,,0.000,0.000,0.000,0.000,-21.750,-22.555,-22.885,-23.138,,,,-25.080,-25.148,-26.532,-30.193,39.86,10.969,0.799
PGC170506,J000418.21-010941.3,PGC170506,1.0758926,-1.1614810,PTS,,Forming Polar_Tilted Rings,,S,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,170506,1.0759485,-1.1614291,S0-a,0.4786,0.088661,2MASX J00041821-0109409,0.088661,13.768,13.009,12.574,830564,1.0759143,-1.1614658,16.502,0.033,15.613,0.038,14.912,0.041,0.7669,SB26,29.395,28.936,28.258,27.787,29.492,29.033,16.755,0.020,16.851,0.2661,0.0219,16.747,0.6432,15.8750,0.0140,15.9330,0.2912,0.0167,15.8710,0.6432,15.472,0.017,15.508,0.3018,0.0207,15.466,0.6432,15.185,0.021,15.220,0.2921,0.0724,15.179,0.6432,174.26,0.2576,0.1864,16.811,15.927,15.518,15.232,13.207,0.035,12.985,0.039,9.76,0.064,7.933,0.303,0.104,0.068,0.050,0.037,0.023,0.014,0.010,0.088661,0.088661,0.055054,0.057099,0.049474,0.088661,SDSS_SPEC_REDSHIFT,354.54,1.719,420.19,0.201,0.073,0.037,0.016,-0.039,-0.005,-0.131,0.000,0.000,0.000,0.000,-21.571,-22.325,-22.696,-22.950,-24.333,-25.117,-25.422,-24.910,-25.132,-28.357,-30.184,30.03,10.849,0.796
PGC170509,J000419.71-124714.1,PGC170509,1.0821239,-12.7872405,PTS,,Forming Polar_Tilted Rings,,S,,,,,170509,1.0820415,-12.7871944,S0-a,0.6095,0.039066,WISEA J000419.73-124713.7,0.039064,13.297,12.493,12.292,502194,1.0821567,-12.7872088,15.897,0.020,15.180,0.020,14.582,0.021,1.0068,SB26,29.131,28.256,28.063,27.305,28.906,28.592,15.876,0.014,15.936,0.3610,0.0195,15.874,0.8644,15.2200,0.0140,15.2490,0.3627,0.0232,15.2140,0.8644,14.930,0.013,14.958,0.3635,0.0481,14.922,0.8644,14.655,0.022,14.676,0.3613,0.0830,14.653,0.8644,30.59,0.3549,0.2019,15.899,15.226,14.937,14.674,12.084,0.023,11.911,0.022,7.994,0.019,6.081,0.061,0.119,0.078,0.057,0.043,0.026,0.016,0.011,,,0.033947,0.032431,0.036713,0.039064,REDSHIFT_NED,165.67,0.803,178.86,0.064,0.037,0.012,0.009,-0.023,-0.020,-0.093,0.000,0.000,0.000,0.000,-20.510,-21.129,-21.374,-21.639,-22.969,-23.766,-23.889,-24.179,-24.352,-28.269,-30.182,17.47,10.573,0.795
PGC000330,J000448.63-012954.1,PGC000330,1.2026155,-1.4983528,PTS,,Polar_Tilted Tidal Structures,,S,,,,,330,1.2027240,-1.4983690,,0.5875,0.023716,MRK 0544,0.023716,13.037,12.496,12.097,876044,1.2025682,-1.4979614,14.712,0.008,14.329,0.008,14.058,0.008,0.9016,SB26,29.439,28.918,28.267,27.806,29.480,29.045,14.587,0.013,14.629,0.4667,0.0807,14.582,1.5612,14.1860,0.0140,14.2270,0.4979,0.0655,14.1840,1.5612,14.072,0.021,14.111,0.5404,0.0970,14.072,1.5612,13.910,0.028,13.943,0.5848,0.1209,13.908,1.5612,133.04,0.6327,0.3821,14.613,14.218,14.106,13.945,12.396,0.023,12.256,0.025,8.28,0.022,6.031,0.047,0.114,0.075,0.055,0.041,0.025,0.016,0.011,,,0.010494,0.013614,0.009850,0.023716,REDSHIFT_NED,102.46,0.497,107.38,0.003,0.024,-0.021,0.001,-0.023,-0.033,-0.028,0.000,0.000,0.000,0.000,-20.643,-21.027,-21.078,-21.254,-22.120,-22.642,-23.041,-22.759,-22.899,-26.875,-29.124,14.85,10.016,0.407
